month,Log_return,Raw_return,MV,cpi
2000-11-30,0.054240829842950866,0.055738824957044075,0.001852187283948564,1.3
2000-12-31,0.0013851052746653991,0.0013860649760208954,0.0007023128558990786,1.5
2001-01-31,-0.003802772824005096,-0.003795551440090472,0.0020310396910038168,1.2
2001-02-28,-0.05289956395143669,-0.05152473119320733,0.002857838292217061,0.0
2001-03-31,0.07547859748920871,0.0784001470002762,0.0013004479754526463,0.8
2001-04-30,0.0030246055629348234,0.0030291842974654593,0.001269726207703861,1.6
2001-05-31,0.04388904049163678,0.044866410592777184,0.0006325339642493372,1.7
2001-06-30,0.0017011526362997742,0.0017026004172948639,0.001244538845220541,1.4
2001-07-31,-0.1441275757165208,-0.1342227111445744,0.0043651125238710715,1.5
2001-08-31,-0.04591613202031031,-0.04487793701049847,0.005439748390961373,1.0
